Date,Close
11/1/2019 16:00:00,128.16
11/4/2019 16:00:00,126.88
11/5/2019 16:00:00,125.06
11/6/2019 16:00:00,127.03
11/7/2019 16:00:00,127.03
11/8/2019 16:00:00,126.13
11/11/2019 16:00:00,126.8
11/12/2019 16:00:00,128.72
11/13/2019 16:00:00,130.93
11/14/2019 16:00:00,131.79
11/15/2019 16:00:00,134.77
11/18/2019 16:00:00,137.09
11/19/2019 16:00:00,140.99
11/20/2019 16:00:00,147.75
11/21/2019 16:00:00,146.47
11/22/2019 16:00:00,147.92
11/25/2019 16:00:00,146.88
11/26/2019 16:00:00,149.63
11/27/2019 16:00:00,149.77
11/29/2019 13:00:00,148.7
12/2/2019 16:00:00,137.43
12/3/2019 16:00:00,142.68
12/4/2019 16:00:00,136.48
12/5/2019 16:00:00,131.37
12/6/2019 16:00:00,131.17
12/9/2019 16:00:00,131.01
12/10/2019 16:00:00,129.18
12/11/2019 16:00:00,128
12/12/2019 16:00:00,124.73
12/13/2019 16:00:00,128.41
12/16/2019 16:00:00,132.26
12/17/2019 16:00:00,129.39
12/18/2019 16:00:00,129.18
12/19/2019 16:00:00,130.96
12/20/2019 16:00:00,130.68
12/23/2019 16:00:00,132.36
12/24/2019 13:00:00,132.55
12/26/2019 16:00:00,135.02
12/27/2019 16:00:00,134.13
12/30/2019 16:00:00,128.93
12/31/2019 16:00:00,131.61
1/2/2020 16:00:00,134.33
1/3/2020 16:00:00,135.29
1/6/2020 16:00:00,140.5
1/7/2020 16:00:00,138.86
1/8/2020 16:00:00,140.27
1/9/2020 16:00:00,149.96
1/10/2020 16:00:00,149.23
1/13/2020 16:00:00,152.91
1/14/2020 16:00:00,152.83
1/15/2020 16:00:00,152.38
1/16/2020 16:00:00,151.9
1/17/2020 16:00:00,149.39
1/21/2020 16:00:00,148.68
1/22/2020 16:00:00,149.96
1/23/2020 16:00:00,148.57
1/24/2020 16:00:00,152.11
1/27/2020 16:00:00,148.77
1/28/2020 16:00:00,152.57
1/29/2020 16:00:00,159.31
1/30/2020 16:00:00,167.43
1/31/2020 16:00:00,163.91
2/3/2020 16:00:00,163.33
2/4/2020 16:00:00,172.15
2/5/2020 16:00:00,163.21
2/6/2020 16:00:00,163.61
2/7/2020 16:00:00,164.11
2/10/2020 16:00:00,166.25
2/11/2020 16:00:00,166.81
2/12/2020 16:00:00,170.59
2/13/2020 16:00:00,169.91
2/14/2020 16:00:00,171.33
2/18/2020 16:00:00,176.9
2/19/2020 16:00:00,180.09
2/20/2020 16:00:00,178.1
2/21/2020 16:00:00,164.9
2/24/2020 16:00:00,153.85
2/25/2020 16:00:00,149.38
2/26/2020 16:00:00,151.26
2/27/2020 16:00:00,150.19
2/28/2020 16:00:00,152.5
3/2/2020 16:00:00,155.64
3/3/2020 16:00:00,155.16
3/4/2020 16:00:00,159.32
3/5/2020 16:00:00,159.06
3/6/2020 16:00:00,150.11
3/9/2020 16:00:00,127.85
3/10/2020 16:00:00,133.85
3/11/2020 16:00:00,123.85
3/12/2020 16:00:00,111.55
3/13/2020 16:00:00,115.17
3/16/2020 16:00:00,98.97
3/17/2020 16:00:00,114.52
3/18/2020 16:00:00,105.73
3/19/2020 16:00:00,122.18
3/20/2020 16:00:00,120.5
3/23/2020 16:00:00,125.57
3/24/2020 16:00:00,136.43
3/25/2020 16:00:00,134.3
3/26/2020 16:00:00,133.11
3/27/2020 16:00:00,132.11
3/30/2020 16:00:00,136.43
3/31/2020 16:00:00,136.54
4/1/2020 16:00:00,126.14
4/2/2020 16:00:00,125.08
4/3/2020 16:00:00,120.47
4/6/2020 16:00:00,132.45
